,x,y,z,muscle1,muscle2,muscle3
122,505.0,617.0,470.0,4.0,5.0,6.0
123,505.0,617.0,470.0,5.0,5.0,5.0
124,505.0,617.0,470.0,5.0,5.0,6.0
125,506.0,616.0,470.0,4.0,5.0,5.0
126,506.0,617.0,469.0,4.0,6.0,5.0
127,505.0,616.0,470.0,4.0,5.0,5.0
128,505.0,616.0,470.0,5.0,5.0,5.0
129,505.0,616.0,470.0,4.0,5.0,5.0
130,505.0,616.0,470.0,5.0,5.0,6.0
131,505.0,616.0,470.0,4.0,6.0,5.0
132,505.0,617.0,470.0,5.0,6.0,6.0
133,506.0,617.0,470.0,4.0,5.0,6.0
134,505.0,617.0,470.0,4.0,5.0,5.0
135,505.0,617.0,470.0,5.0,5.0,5.0
136,505.0,616.0,470.0,5.0,6.0,6.0
137,505.0,617.0,470.0,5.0,6.0,6.0
138,505.0,617.0,470.0,4.0,6.0,6.0
139,505.0,617.0,470.0,4.0,6.0,5.0
140,506.0,617.0,470.0,4.0,6.0,5.0
141,505.0,617.0,469.0,4.0,6.0,5.0
142,505.0,617.0,470.0,5.0,6.0,5.0
143,506.0,617.0,470.0,5.0,6.0,6.0
144,505.0,617.0,470.0,4.0,6.0,5.0
145,505.0,617.0,470.0,4.0,6.0,6.0
146,505.0,616.0,470.0,4.0,6.0,5.0
147,506.0,617.0,470.0,5.0,6.0,5.0
148,506.0,616.0,470.0,5.0,6.0,5.0
149,506.0,616.0,470.0,5.0,5.0,6.0
150,505.0,617.0,470.0,4.0,6.0,6.0
151,505.0,616.0,470.0,4.0,6.0,5.0
152,505.0,616.0,470.0,5.0,6.0,6.0
153,505.0,617.0,470.0,4.0,6.0,6.0
154,505.0,617.0,470.0,5.0,5.0,6.0
155,506.0,617.0,469.0,5.0,6.0,5.0
156,505.0,617.0,470.0,5.0,6.0,5.0
157,505.0,617.0,470.0,4.0,6.0,5.0
158,505.0,616.0,470.0,4.0,6.0,5.0
159,505.0,616.0,470.0,4.0,7.0,5.0
160,505.0,616.0,470.0,4.0,6.0,5.0
161,505.0,617.0,470.0,4.0,6.0,6.0
162,505.0,616.0,469.0,5.0,6.0,5.0
163,506.0,617.0,470.0,4.0,6.0,5.0
164,505.0,616.0,470.0,4.0,6.0,6.0
165,505.0,616.0,470.0,4.0,6.0,6.0
166,505.0,616.0,470.0,5.0,6.0,6.0
167,505.0,616.0,470.0,4.0,6.0,5.0
168,505.0,616.0,470.0,4.0,6.0,6.0
169,506.0,617.0,470.0,4.0,6.0,5.0
170,506.0,616.0,470.0,5.0,6.0,5.0
171,506.0,617.0,470.0,5.0,6.0,5.0
172,505.0,617.0,470.0,4.0,6.0,5.0
173,506.0,617.0,470.0,4.0,6.0,5.0
174,505.0,617.0,470.0,5.0,6.0,5.0
175,505.0,616.0,470.0,4.0,6.0,5.0
176,506.0,616.0,470.0,4.0,6.0,5.0
177,506.0,616.0,470.0,4.0,6.0,5.0
178,505.0,616.0,470.0,4.0,6.0,5.0
179,505.0,617.0,470.0,4.0,6.0,5.0
180,505.0,616.0,469.0,4.0,6.0,5.0
181,505.0,617.0,470.0,5.0,6.0,5.0
182,505.0,617.0,470.0,4.0,6.0,5.0
183,505.0,616.0,470.0,4.0,6.0,5.0
184,506.0,616.0,470.0,4.0,6.0,6.0
185,506.0,616.0,470.0,4.0,6.0,5.0
186,505.0,617.0,470.0,5.0,6.0,5.0
187,505.0,617.0,470.0,4.0,6.0,5.0
188,505.0,616.0,470.0,4.0,6.0,5.0
189,505.0,617.0,470.0,4.0,6.0,5.0
190,505.0,617.0,470.0,4.0,6.0,5.0
191,505.0,617.0,470.0,4.0,6.0,5.0
192,505.0,617.0,469.0,4.0,6.0,5.0
193,505.0,617.0,470.0,5.0,6.0,5.0
194,505.0,617.0,470.0,4.0,6.0,5.0
195,505.0,617.0,470.0,4.0,6.0,5.0
196,505.0,617.0,469.0,4.0,6.0,6.0
197,505.0,616.0,470.0,4.0,4.0,5.0
198,506.0,616.0,470.0,4.0,6.0,5.0
199,506.0,617.0,470.0,4.0,6.0,5.0
200,506.0,617.0,470.0,4.0,6.0,5.0
201,505.0,617.0,469.0,4.0,6.0,5.0
202,505.0,616.0,470.0,4.0,6.0,5.0
203,505.0,617.0,469.0,5.0,6.0,5.0
204,505.0,616.0,470.0,4.0,6.0,5.0
205,505.0,616.0,470.0,4.0,6.0,5.0
206,505.0,617.0,470.0,4.0,6.0,5.0
207,505.0,617.0,470.0,4.0,6.0,5.0
208,505.0,616.0,470.0,4.0,6.0,6.0
209,505.0,617.0,470.0,4.0,6.0,6.0
210,505.0,617.0,469.0,4.0,6.0,5.0
211,505.0,616.0,470.0,6.0,6.0,4.0
212,505.0,616.0,470.0,4.0,6.0,5.0
213,505.0,616.0,470.0,4.0,6.0,5.0
214,505.0,616.0,469.0,4.0,6.0,6.0
215,505.0,616.0,470.0,4.0,5.0,5.0
216,505.0,616.0,470.0,4.0,6.0,5.0
217,505.0,616.0,470.0,4.0,6.0,6.0
218,505.0,616.0,470.0,4.0,6.0,5.0
219,505.0,616.0,470.0,4.0,6.0,5.0
220,505.0,617.0,470.0,6.0,6.0,5.0
221,506.0,617.0,470.0,4.0,6.0,5.0
222,506.0,616.0,470.0,4.0,6.0,6.0
223,506.0,616.0,470.0,4.0,6.0,5.0
224,505.0,616.0,470.0,4.0,6.0,6.0
225,505.0,617.0,470.0,4.0,6.0,5.0
226,505.0,617.0,470.0,4.0,6.0,5.0
227,505.0,616.0,470.0,4.0,6.0,5.0
228,505.0,617.0,470.0,5.0,6.0,5.0
229,505.0,617.0,469.0,4.0,6.0,5.0
230,505.0,617.0,469.0,4.0,6.0,5.0
231,505.0,616.0,470.0,4.0,6.0,5.0
232,505.0,616.0,470.0,5.0,6.0,5.0
233,505.0,617.0,470.0,4.0,6.0,5.0
234,505.0,617.0,470.0,4.0,6.0,5.0
235,505.0,617.0,470.0,4.0,6.0,5.0
236,505.0,617.0,470.0,4.0,6.0,4.0
237,505.0,616.0,470.0,4.0,6.0,5.0
238,505.0,617.0,470.0,5.0,6.0,5.0
239,505.0,617.0,469.0,4.0,6.0,5.0
240,505.0,617.0,470.0,4.0,6.0,5.0
241,505.0,617.0,470.0,4.0,6.0,4.0
242,505.0,617.0,470.0,4.0,4.0,5.0
243,505.0,616.0,470.0,4.0,6.0,5.0
244,506.0,616.0,470.0,4.0,6.0,5.0
245,506.0,616.0,470.0,4.0,6.0,5.0
246,505.0,616.0,470.0,4.0,6.0,5.0
247,505.0,616.0,470.0,4.0,6.0,5.0
248,505.0,617.0,470.0,4.0,6.0,6.0
249,505.0,617.0,470.0,4.0,6.0,5.0
250,505.0,616.0,470.0,4.0,6.0,7.0
251,505.0,616.0,470.0,5.0,6.0,6.0
252,505.0,617.0,469.0,4.0,6.0,5.0
253,505.0,617.0,470.0,4.0,6.0,6.0
254,505.0,616.0,470.0,4.0,6.0,6.0
255,505.0,616.0,470.0,4.0,6.0,6.0
256,505.0,616.0,470.0,5.0,6.0,6.0
257,505.0,617.0,470.0,5.0,6.0,6.0
258,505.0,617.0,469.0,5.0,6.0,5.0
259,506.0,617.0,470.0,4.0,6.0,6.0
260,505.0,616.0,469.0,4.0,6.0,5.0
261,506.0,617.0,470.0,5.0,6.0,6.0
262,506.0,617.0,470.0,5.0,6.0,5.0
263,506.0,616.0,470.0,4.0,5.0,6.0
264,505.0,616.0,470.0,4.0,6.0,5.0
265,505.0,616.0,470.0,4.0,6.0,5.0
266,506.0,617.0,470.0,5.0,6.0,5.0
267,506.0,616.0,470.0,4.0,6.0,5.0
268,506.0,617.0,470.0,5.0,6.0,5.0
269,505.0,616.0,470.0,4.0,6.0,7.0
270,505.0,616.0,470.0,4.0,6.0,5.0
271,505.0,617.0,470.0,5.0,6.0,5.0
272,505.0,617.0,470.0,4.0,6.0,5.0
273,505.0,617.0,469.0,4.0,6.0,6.0
274,506.0,617.0,470.0,4.0,6.0,6.0
275,506.0,617.0,470.0,4.0,6.0,5.0
276,505.0,617.0,470.0,4.0,6.0,5.0
277,505.0,617.0,470.0,4.0,6.0,6.0
278,505.0,617.0,470.0,5.0,6.0,5.0
279,505.0,616.0,470.0,4.0,6.0,5.0
280,506.0,616.0,470.0,4.0,5.0,5.0
281,506.0,616.0,469.0,4.0,6.0,5.0
282,505.0,616.0,470.0,4.0,6.0,5.0
283,505.0,617.0,470.0,4.0,6.0,5.0
284,505.0,617.0,470.0,4.0,6.0,5.0
285,505.0,617.0,470.0,4.0,6.0,5.0
286,505.0,616.0,470.0,4.0,6.0,5.0
287,505.0,617.0,470.0,5.0,6.0,5.0
288,505.0,617.0,470.0,4.0,6.0,5.0
289,506.0,617.0,470.0,4.0,6.0,5.0
290,505.0,617.0,470.0,4.0,6.0,5.0
291,505.0,616.0,470.0,4.0,6.0,6.0
292,505.0,617.0,469.0,4.0,6.0,6.0
293,505.0,616.0,470.0,4.0,6.0,5.0
294,505.0,616.0,470.0,4.0,6.0,6.0
295,505.0,617.0,470.0,5.0,6.0,6.0
296,506.0,617.0,470.0,5.0,6.0,5.0
297,505.0,617.0,469.0,5.0,6.0,6.0
298,505.0,617.0,470.0,4.0,6.0,5.0
299,505.0,616.0,469.0,4.0,6.0,5.0
300,505.0,617.0,470.0,4.0,6.0,5.0
301,505.0,617.0,470.0,4.0,6.0,5.0
302,505.0,617.0,470.0,4.0,6.0,5.0
303,505.0,617.0,470.0,4.0,6.0,5.0
304,506.0,616.0,470.0,5.0,6.0,6.0
305,506.0,617.0,470.0,4.0,6.0,5.0
306,506.0,617.0,470.0,4.0,6.0,6.0
307,506.0,617.0,469.0,6.0,6.0,6.0
308,505.0,616.0,470.0,4.0,6.0,6.0
309,505.0,616.0,470.0,5.0,6.0,6.0
310,505.0,616.0,470.0,4.0,6.0,6.0
311,505.0,616.0,469.0,5.0,6.0,6.0
312,506.0,616.0,470.0,4.0,6.0,5.0
313,505.0,617.0,470.0,4.0,6.0,5.0
314,505.0,617.0,470.0,5.0,6.0,6.0
315,505.0,617.0,470.0,5.0,5.0,5.0
316,505.0,617.0,470.0,5.0,5.0,6.0
317,505.0,617.0,470.0,4.0,6.0,6.0
318,505.0,616.0,470.0,4.0,6.0,6.0
319,505.0,617.0,470.0,5.0,6.0,5.0
320,506.0,617.0,469.0,4.0,6.0,5.0
321,505.0,617.0,470.0,5.0,6.0,6.0
322,505.0,617.0,470.0,5.0,6.0,5.0
323,505.0,617.0,470.0,5.0,6.0,6.0
324,505.0,617.0,470.0,4.0,6.0,6.0
325,505.0,617.0,469.0,3.0,6.0,6.0
326,506.0,616.0,470.0,5.0,8.0,6.0
327,505.0,616.0,470.0,4.0,6.0,6.0
328,506.0,616.0,469.0,5.0,6.0,5.0
329,505.0,617.0,470.0,4.0,5.0,6.0
330,505.0,616.0,470.0,4.0,6.0,5.0
331,505.0,617.0,470.0,4.0,6.0,6.0
332,505.0,616.0,470.0,5.0,6.0,6.0
333,505.0,617.0,470.0,4.0,6.0,6.0
334,505.0,617.0,469.0,5.0,6.0,6.0
335,506.0,617.0,469.0,4.0,6.0,5.0
336,505.0,617.0,470.0,4.0,6.0,6.0
337,505.0,617.0,470.0,4.0,6.0,6.0
338,506.0,616.0,469.0,4.0,6.0,6.0
339,506.0,617.0,470.0,4.0,6.0,5.0
340,505.0,617.0,470.0,4.0,6.0,6.0
341,505.0,616.0,469.0,5.0,6.0,6.0
342,505.0,616.0,470.0,5.0,6.0,6.0
343,506.0,617.0,469.0,4.0,6.0,5.0
344,505.0,616.0,470.0,4.0,6.0,6.0
345,505.0,617.0,470.0,4.0,6.0,5.0
346,505.0,617.0,470.0,5.0,6.0,6.0
347,505.0,617.0,470.0,4.0,6.0,5.0
348,505.0,617.0,470.0,5.0,6.0,6.0
349,506.0,617.0,470.0,4.0,6.0,6.0
350,505.0,617.0,470.0,4.0,6.0,6.0
351,505.0,617.0,470.0,4.0,6.0,7.0
352,506.0,618.0,470.0,4.0,6.0,6.0
353,505.0,617.0,470.0,4.0,6.0,6.0
354,505.0,617.0,470.0,4.0,7.0,6.0
355,505.0,617.0,470.0,5.0,8.0,6.0
356,506.0,617.0,470.0,5.0,7.0,7.0
357,506.0,616.0,470.0,5.0,8.0,6.0
358,506.0,616.0,470.0,6.0,8.0,7.0
359,505.0,615.0,469.0,8.0,12.0,9.0
360,505.0,616.0,470.0,9.0,12.0,9.0
361,505.0,617.0,470.0,9.0,12.0,9.0
362,505.0,617.0,470.0,8.0,12.0,9.0
363,505.0,617.0,470.0,8.0,12.0,10.0
364,505.0,617.0,470.0,9.0,12.0,9.0
365,505.0,617.0,470.0,9.0,12.0,9.0
366,505.0,617.0,470.0,8.0,12.0,9.0
367,505.0,616.0,470.0,8.0,12.0,9.0
368,505.0,617.0,470.0,9.0,11.0,9.0
369,505.0,616.0,469.0,8.0,11.0,9.0
370,505.0,617.0,470.0,8.0,11.0,9.0
371,506.0,617.0,469.0,8.0,11.0,9.0
372,505.0,616.0,470.0,8.0,11.0,9.0
373,505.0,617.0,470.0,8.0,12.0,9.0
374,505.0,616.0,469.0,8.0,11.0,8.0
375,506.0,617.0,469.0,7.0,11.0,9.0
376,506.0,617.0,470.0,8.0,11.0,9.0
377,506.0,617.0,469.0,7.0,11.0,9.0
378,506.0,617.0,470.0,7.0,11.0,8.0
379,506.0,617.0,469.0,7.0,11.0,9.0
380,505.0,617.0,470.0,7.0,11.0,8.0
381,505.0,616.0,470.0,8.0,10.0,9.0
382,506.0,616.0,470.0,7.0,10.0,8.0
383,505.0,617.0,469.0,7.0,10.0,8.0
384,505.0,617.0,470.0,8.0,10.0,8.0
385,506.0,617.0,470.0,7.0,10.0,8.0
386,505.0,617.0,470.0,7.0,10.0,8.0
387,505.0,617.0,470.0,7.0,10.0,8.0
388,505.0,617.0,470.0,7.0,10.0,8.0
389,505.0,617.0,469.0,6.0,10.0,8.0
390,505.0,617.0,470.0,7.0,10.0,8.0
391,505.0,617.0,470.0,7.0,10.0,9.0
392,506.0,616.0,470.0,7.0,10.0,8.0
393,506.0,617.0,470.0,7.0,9.0,8.0
394,506.0,616.0,469.0,6.0,10.0,8.0
395,505.0,616.0,470.0,7.0,9.0,8.0
396,506.0,617.0,470.0,6.0,10.0,8.0
397,505.0,616.0,469.0,7.0,9.0,8.0
398,505.0,617.0,470.0,7.0,10.0,8.0
399,505.0,616.0,469.0,7.0,10.0,8.0
400,505.0,617.0,470.0,7.0,9.0,8.0
401,505.0,616.0,470.0,7.0,9.0,8.0
402,506.0,616.0,470.0,7.0,9.0,8.0
403,505.0,616.0,470.0,7.0,9.0,7.0
404,506.0,616.0,470.0,7.0,9.0,7.0
405,505.0,616.0,470.0,6.0,9.0,7.0
406,505.0,617.0,470.0,7.0,9.0,7.0
407,506.0,617.0,470.0,7.0,9.0,7.0
408,505.0,617.0,470.0,7.0,9.0,7.0
409,505.0,616.0,470.0,7.0,9.0,7.0
410,506.0,617.0,469.0,7.0,9.0,7.0
411,505.0,617.0,470.0,6.0,9.0,7.0
412,505.0,617.0,470.0,6.0,9.0,7.0
413,505.0,616.0,470.0,6.0,9.0,7.0
414,505.0,617.0,470.0,6.0,9.0,8.0
415,505.0,617.0,470.0,6.0,9.0,8.0
416,505.0,616.0,470.0,6.0,9.0,8.0
417,505.0,617.0,469.0,6.0,9.0,7.0
418,506.0,616.0,470.0,6.0,8.0,7.0
419,506.0,617.0,470.0,7.0,8.0,7.0
420,505.0,617.0,470.0,6.0,8.0,7.0
421,505.0,617.0,470.0,6.0,8.0,7.0
422,505.0,616.0,470.0,6.0,8.0,7.0
423,505.0,616.0,470.0,6.0,8.0,6.0
424,505.0,617.0,469.0,6.0,8.0,7.0
425,505.0,616.0,470.0,6.0,8.0,7.0
426,505.0,616.0,470.0,6.0,8.0,7.0
427,505.0,616.0,470.0,6.0,8.0,7.0
428,505.0,617.0,470.0,6.0,8.0,7.0
429,506.0,617.0,470.0,6.0,8.0,6.0
430,505.0,616.0,470.0,6.0,8.0,7.0
431,505.0,617.0,470.0,6.0,8.0,7.0
432,505.0,616.0,470.0,6.0,8.0,7.0
433,505.0,616.0,470.0,6.0,8.0,7.0
434,505.0,617.0,470.0,6.0,8.0,7.0
435,505.0,617.0,470.0,6.0,8.0,7.0
436,505.0,616.0,470.0,5.0,8.0,7.0
437,506.0,616.0,470.0,6.0,8.0,7.0
438,506.0,617.0,470.0,6.0,7.0,7.0
439,505.0,617.0,470.0,5.0,8.0,7.0
440,505.0,616.0,470.0,5.0,6.0,7.0
441,505.0,616.0,470.0,6.0,8.0,8.0
442,505.0,617.0,470.0,6.0,7.0,8.0
443,505.0,617.0,470.0,6.0,7.0,8.0
444,506.0,617.0,470.0,6.0,7.0,8.0
445,505.0,617.0,470.0,6.0,7.0,8.0
446,505.0,617.0,470.0,6.0,7.0,8.0
447,505.0,616.0,470.0,6.0,7.0,8.0
448,506.0,617.0,470.0,5.0,8.0,8.0
449,505.0,617.0,470.0,5.0,7.0,8.0
450,505.0,617.0,470.0,6.0,8.0,7.0
451,506.0,616.0,470.0,6.0,8.0,7.0
452,506.0,616.0,470.0,5.0,7.0,7.0
453,506.0,617.0,470.0,6.0,7.0,8.0
454,505.0,616.0,470.0,5.0,7.0,7.0
455,505.0,616.0,470.0,5.0,8.0,7.0
456,505.0,616.0,470.0,5.0,7.0,7.0
457,505.0,616.0,470.0,5.0,7.0,8.0
458,506.0,616.0,470.0,5.0,7.0,7.0
459,505.0,616.0,470.0,6.0,7.0,7.0
460,506.0,617.0,470.0,5.0,7.0,7.0
461,505.0,617.0,470.0,5.0,7.0,7.0
462,505.0,617.0,470.0,5.0,7.0,7.0
463,505.0,616.0,470.0,5.0,7.0,8.0
464,506.0,617.0,470.0,5.0,7.0,7.0
465,505.0,616.0,470.0,6.0,7.0,7.0
466,505.0,616.0,470.0,5.0,7.0,7.0
467,505.0,616.0,470.0,5.0,7.0,7.0
468,505.0,617.0,470.0,5.0,7.0,6.0
469,505.0,617.0,469.0,5.0,7.0,7.0
470,505.0,617.0,470.0,5.0,7.0,7.0
471,505.0,617.0,470.0,5.0,7.0,7.0
472,505.0,617.0,470.0,6.0,7.0,7.0
473,505.0,617.0,470.0,5.0,7.0,7.0
474,505.0,616.0,470.0,5.0,6.0,6.0
475,506.0,616.0,470.0,5.0,7.0,7.0
476,505.0,617.0,470.0,5.0,6.0,7.0
477,505.0,617.0,470.0,5.0,7.0,7.0
478,505.0,616.0,470.0,5.0,7.0,7.0
479,505.0,616.0,470.0,5.0,6.0,7.0
480,505.0,616.0,470.0,5.0,7.0,7.0
481,505.0,617.0,470.0,5.0,7.0,7.0
482,505.0,616.0,470.0,5.0,7.0,7.0
483,506.0,617.0,470.0,5.0,7.0,6.0
484,505.0,616.0,470.0,5.0,7.0,7.0
485,505.0,616.0,470.0,5.0,6.0,7.0
486,506.0,616.0,470.0,5.0,7.0,7.0
487,505.0,617.0,470.0,5.0,7.0,7.0
488,505.0,616.0,470.0,5.0,7.0,7.0
489,506.0,616.0,470.0,5.0,7.0,6.0
490,506.0,617.0,470.0,4.0,7.0,6.0
491,505.0,617.0,470.0,5.0,7.0,7.0
492,505.0,616.0,469.0,5.0,6.0,6.0
493,505.0,617.0,470.0,5.0,5.0,7.0
494,505.0,617.0,470.0,5.0,6.0,6.0
495,505.0,617.0,470.0,5.0,7.0,6.0
496,505.0,617.0,470.0,5.0,6.0,7.0
497,505.0,617.0,470.0,5.0,6.0,6.0
498,505.0,617.0,470.0,5.0,6.0,7.0
499,506.0,617.0,470.0,5.0,6.0,6.0
500,505.0,616.0,470.0,5.0,6.0,6.0
501,505.0,617.0,470.0,4.0,6.0,6.0
502,505.0,617.0,470.0,4.0,6.0,6.0
503,506.0,617.0,470.0,5.0,6.0,7.0
504,506.0,616.0,470.0,5.0,6.0,6.0
505,505.0,616.0,470.0,4.0,6.0,6.0
506,505.0,617.0,469.0,5.0,6.0,7.0
507,505.0,617.0,470.0,5.0,6.0,7.0
508,505.0,616.0,470.0,5.0,6.0,6.0
509,505.0,616.0,469.0,4.0,6.0,6.0
510,505.0,617.0,470.0,5.0,6.0,6.0
511,505.0,617.0,470.0,5.0,6.0,6.0
512,505.0,617.0,470.0,4.0,6.0,6.0
513,506.0,616.0,469.0,4.0,6.0,6.0
514,505.0,617.0,470.0,5.0,6.0,6.0
515,505.0,617.0,470.0,5.0,6.0,6.0
516,505.0,616.0,470.0,5.0,6.0,6.0
517,505.0,616.0,470.0,5.0,6.0,6.0
518,505.0,616.0,470.0,5.0,6.0,6.0
519,505.0,617.0,470.0,5.0,5.0,6.0
520,505.0,617.0,470.0,5.0,6.0,6.0
521,505.0,617.0,470.0,4.0,6.0,6.0
522,505.0,617.0,470.0,5.0,6.0,6.0
523,505.0,616.0,470.0,5.0,6.0,6.0
524,505.0,616.0,470.0,4.0,6.0,6.0
525,505.0,617.0,470.0,5.0,6.0,6.0
526,506.0,616.0,470.0,5.0,6.0,6.0
527,505.0,616.0,470.0,5.0,6.0,6.0
528,505.0,616.0,470.0,5.0,6.0,6.0
529,505.0,616.0,470.0,5.0,6.0,5.0
530,505.0,617.0,470.0,5.0,6.0,5.0
531,505.0,617.0,470.0,5.0,6.0,6.0
532,505.0,617.0,470.0,5.0,6.0,5.0
533,505.0,616.0,470.0,5.0,6.0,6.0
534,506.0,616.0,470.0,5.0,6.0,6.0
535,505.0,616.0,470.0,5.0,6.0,6.0
