,x,y,z,muscle1,muscle2,muscle3
145,392.0,389.0,462.0,457.0,450.0,444.0
146,392.0,389.0,462.0,452.0,446.0,440.0
147,392.0,389.0,463.0,459.0,457.0,454.0
148,392.0,389.0,462.0,465.0,466.0,463.0
149,392.0,389.0,463.0,460.0,457.0,451.0
150,392.0,389.0,462.0,454.0,445.0,439.0
151,392.0,389.0,462.0,455.0,449.0,447.0
152,392.0,390.0,464.0,463.0,464.0,462.0
153,392.0,389.0,463.0,464.0,462.0,459.0
154,392.0,389.0,463.0,456.0,449.0,443.0
155,392.0,388.0,462.0,453.0,446.0,441.0
156,392.0,389.0,463.0,460.0,457.0,455.0
157,392.0,389.0,463.0,465.0,465.0,462.0
158,392.0,389.0,463.0,459.0,455.0,450.0
159,392.0,389.0,462.0,453.0,444.0,438.0
160,392.0,389.0,463.0,456.0,451.0,448.0
161,392.0,389.0,462.0,464.0,464.0,463.0
162,392.0,389.0,463.0,464.0,462.0,458.0
163,392.0,389.0,463.0,455.0,448.0,443.0
164,392.0,389.0,462.0,452.0,447.0,442.0
165,392.0,389.0,462.0,461.0,459.0,458.0
166,392.0,389.0,462.0,465.0,465.0,462.0
167,392.0,389.0,463.0,459.0,455.0,449.0
168,392.0,389.0,463.0,452.0,444.0,438.0
169,392.0,389.0,462.0,456.0,452.0,449.0
170,392.0,389.0,463.0,465.0,465.0,464.0
171,392.0,389.0,463.0,463.0,461.0,456.0
172,392.0,389.0,462.0,455.0,448.0,441.0
173,392.0,389.0,463.0,453.0,447.0,442.0
174,392.0,389.0,463.0,462.0,460.0,459.0
175,392.0,389.0,463.0,465.0,464.0,462.0
176,392.0,390.0,463.0,458.0,453.0,447.0
177,392.0,389.0,463.0,453.0,445.0,440.0
178,392.0,389.0,464.0,458.0,454.0,451.0
179,392.0,389.0,463.0,465.0,465.0,464.0
180,392.0,389.0,463.0,462.0,460.0,455.0
181,392.0,389.0,462.0,454.0,446.0,440.0
182,392.0,388.0,462.0,454.0,447.0,443.0
183,392.0,389.0,462.0,462.0,460.0,459.0
184,392.0,389.0,462.0,465.0,462.0,460.0
185,391.0,389.0,462.0,457.0,452.0,446.0
186,392.0,388.0,463.0,452.0,445.0,440.0
187,392.0,389.0,462.0,458.0,455.0,453.0
188,392.0,389.0,463.0,465.0,466.0,464.0
189,392.0,389.0,463.0,462.0,458.0,453.0
190,392.0,388.0,463.0,453.0,446.0,440.0
191,392.0,388.0,463.0,455.0,448.0,445.0
192,392.0,389.0,462.0,463.0,462.0,461.0
193,392.0,389.0,463.0,464.0,464.0,460.0
194,392.0,389.0,462.0,457.0,451.0,445.0
195,392.0,389.0,462.0,453.0,445.0,440.0
196,392.0,389.0,462.0,459.0,456.0,454.0
197,392.0,389.0,462.0,465.0,466.0,463.0
198,392.0,389.0,463.0,461.0,458.0,453.0
199,392.0,389.0,463.0,454.0,446.0,439.0
200,392.0,389.0,463.0,455.0,450.0,448.0
201,392.0,389.0,463.0,464.0,464.0,462.0
202,392.0,389.0,462.0,464.0,463.0,459.0
203,392.0,389.0,463.0,456.0,449.0,443.0
204,392.0,389.0,463.0,452.0,445.0,440.0
205,392.0,389.0,463.0,460.0,457.0,455.0
206,392.0,389.0,462.0,465.0,465.0,463.0
207,391.0,389.0,463.0,460.0,455.0,450.0
208,393.0,389.0,464.0,453.0,446.0,439.0
209,392.0,388.0,462.0,456.0,450.0,448.0
210,392.0,389.0,463.0,464.0,464.0,462.0
211,392.0,389.0,463.0,463.0,462.0,458.0
212,392.0,389.0,463.0,455.0,449.0,443.0
213,392.0,389.0,463.0,454.0,446.0,442.0
214,392.0,389.0,463.0,461.0,458.0,457.0
215,392.0,389.0,463.0,466.0,465.0,463.0
216,392.0,389.0,463.0,459.0,454.0,450.0
217,392.0,389.0,462.0,452.0,444.0,439.0
218,392.0,389.0,463.0,456.0,453.0,450.0
219,392.0,389.0,462.0,464.0,464.0,463.0
220,392.0,390.0,463.0,463.0,461.0,456.0
221,392.0,389.0,463.0,454.0,448.0,442.0
